0.969 0.513 -1.656
-1.16 0.788 -1.211
-0.043 0.759 -0.01
0.5 -0.426 -4.406
-2.039 -1.68 -3.243
-1.118 -4.183 -6.794
0.085 -2.567 -5.86
-1.91 -3.024 -6.075
-1.842 -3.284 -7.513
-3.299 -5.487 -8.832
-3.127 -9.69 -13.275
-0.426 -6.903 -10.204
-2.645 -8.09 -10.961
-3.109 -6.285 -12.794
-3.393 -8.01 -12.085
-2.144 -6.704 -10.388
-2.898 -7.079 -8.535
-0.414 -4.67 -5.823
-3.215 -5.006 -7.701
-2.936 -5.522 -6.924
-2.888 -6.014 -4.674
-3.122 -5.698 -5.844
-4.246 -6.132 -7.24
-1.601 -6.549 -5.91
-1.76 -4.722 -5.062
-2.957 -5.425 -5.396
-0.742 -4.353 -6.717
-1.129 -6.58 -9.768
-2.771 -5.959 -8.064
-0.504 -5.04 -6.121
-3.643 -4.48 -4.783
-3.683 -6.589 -7.333
-3.857 -4.325 -7.086
-1.156 -4.555 -7.317
-1.621 -4.453 -1.275
-3.608 -3.386 0.17
-1.815 -5.311 -1.066
0.146 -2.938 -1.523
-4.86 -3.505 0.326
-3.01 -1.704 -0.154
-3.142 -2.891 -3.274
-0.996 -3.16 0.144
-0.668 -5.577 0.386
-2.114 -3.814 -0.179
-3.78 -5.973 -5.315
-0.057 -5.263 -2.632
-1.173 -2.484 0.556
-3.653 -4.807 -0.907
-2.707 -4.764 -3.872
-2.775 -7.282 -6.236
-3.951 -6.392 -6.456
-3.569 -7.238 -7.889
-2.522 -7.972 -7.384
-1.376 -5.43 -6.427
-3.054 -7.828 -4.714
-1.52 -6.279 -4.433
-3.889 -6.303 -8.107
-5.248 -6.129 -7.815
-3.555 -8.459 -8.895
-5.389 -12.767 -11.874
-4.89 -8.394 -5.581
-6.32 -9.591 -7.112
-4.817 -7.978 -5.931
-3.785 -9.572 -4.82
-5.438 -11.736 -8.113
-5.948 -11.835 -10.679
-6.217 -12.502 -11.009
-7.209 -13.044 -12.112
-6.756 -12.966 -15.635
-7.34 -15.199 -12.001
-9.358 -14.625 -15.132
-7.56 -14.935 -13.21
-6.302 -10.229 -10.704
-4.243 -10.584 -8.372
-6.27 -9.311 -12.786
-7.854 -11.852 -12.459
-5.811 -10.572 -11.926
-6.705 -12.532 -15.774
-9.579 -14.045 -18.611
-8.016 -13.868 -22.107
-8.358 -11.806 -19.234
-7.6 -14.494 -19.357
-8.148 -12.387 -20.938
-7.322 -13.962 -20.742
-8.232 -13.299 -23.416
-6.866 -11.426 -17.315
-5.673 -11.373 -16.321
-8.211 -9.805 -13.623
-5.898 -10.352 -16.575
-6.305 -11.507 -19.888
-7.353 -10.47 -18.719
-7.181 -10.493 -17.361
-7.478 -11.966 -14.205
-6.681 -8.046 -14.755
-6.79 -9.054 -11.774
-6.664 -6.789 -9.485
-8.322 -10.32 -10.917
-7.157 -11.651 -13.306
-8.258 -10.244 -15.763
-7.932 -8.454 -11.098
-6.964 -9.708 -10.391
-6.227 -7.703 -6.002
-5.967 -7.383 -7.72
-7.229 -4.89 -3.74
-5.664 -7.447 -5.797
-4.918 -6.989 -5.57
-4.948 -8.8 -6.508
-7.302 -6.11 -9.608
-6.338 -4.651 -8.614
-4.612 -6.74 -7.767
-6.559 -8.128 -9.195
-2.926 -6.194 -4.853
-5.966 -4.952 -6.108
-5.45 -3.632 -5.909
-2.882 -0.812 -5.1
-5.353 -2.827 -5.791
-3.826 -1.371 1.035
-5.034 -1.986 -1.191
-2.986 -3.112 -4.212
-2.128 -1.404 -1.888
-3.618 -2.93 -4.08
-3.294 -1.011 0.029
-2.685 2.007 0.741
-4.589 0.933 -0.621
-3.225 3.035 2.024
-1.208 2.092 0.867
-3.43 0.522 -0.211
-0.467 2.73 2.959
-3.758 3.304 2.516
-1.556 2.354 2.093
-1.331 4.159 1.441
-2.537 2.698 3.344
-3.032 2.275 0.621
-3.113 6 7.285
-0.081 6.546 6.708
-3.653 4.832 9.913
-1.101 4.735 6.848
-1.532 3.245 7.677
0.612 7.251 7.554
-0.755 4.33 7.053
-1.258 3.091 3.685
-1.463 2.926 2.405
-1.972 3.869 2.202
0.333 4.369 3.558
-2.758 4.435 3.404
-2.438 1.511 0.283
-2.538 0.489 0.629
-0.217 0.393 1.818
-1.876 3.65 1.305
-0.841 -0.538 0.119
