0.286 -0.08 0.138
0.501 0.454 0.273
0.655 -0.063 0.547
0.67 -0.225 0.008
0.98 0.126 -0.149
0.769 0.753 -0.787
0.373 -0.348 0.169
0.789 -0.216 0.388
0.754 -0.216 -0.054
0.955 0.14 -0.705
0.266 -1.378 0.668
0.742 -0.22 -0.958
0.634 0.347 -0.96
0.688 -0.087 0.67
0.87 -0.726 -0.737
0.647 -0.338 -1.476
0.774 -0.563 -0.823
0.602 0.437 0.267
0.854 -0.828 0.192
1.038 0.098 -0.222
1.036 0.542 -0.047
0.724 -0.591 -1.084
0.38 -1.467 -1.565
0.755 -2.504 -1.957
0.78 -1.474 -1.106
0.76 -1.261 -0.641
0.619 -0.2 -0.676
0.545 -0.475 0.033
0.659 -0.262 -0.601
0.997 -0.043 -1.028
1.051 -0.558 -1.508
0.592 -0.468 -1.446
0.927 -0.601 -0.187
0.559 0.471 -0.034
0.631 -0.657 -0.192
0.573 -0.306 -0.272
0.509 -0.015 -0.23
0.852 0.892 0.32
0.591 0.984 1.842
0.602 0.106 -0.242
0.731 1.167 0.06
0.657 0.979 1.208
0.767 0.533 -0.641
0.541 0.828 0.204
0.674 1.334 -0.011
0.822 0.507 0.562
0.465 0.373 1.349
0.555 -0.752 -0.374
0.643 -0.494 -0.761
0.661 -0.503 -0.856
0.661 0.078 0.897
0.47 0.434 0.239
0.624 -0.004 0.168
0.737 -0.064 -0.452
0.168 -0.703 -0.681
0.769 0.819 0.719
0.762 0.505 0.479
0.459 1.224 -0.447
0.305 0.54 0.955
0.711 1.145 0.212
0.506 0.114 -0.336
0.779 0.796 0.447
0.805 0.018 -0.655
0.778 -0.341 -0.945
0.235 -1.354 0.832
1.117 -1.051 0.249
0.49 -1.281 -0.8
0.548 -1.198 -1.218
0.401 -1.376 -1.365
0.617 -0.944 0.309
0.576 -1.67 -0.393
0.645 -0.314 -1.193
0.299 0.774 0.227
0.605 0.489 0.144
0.637 1.435 -0.326
0.881 0.455 1.497
0.916 0.62 -0.311
0.509 0.36 -1.104
0.015 0.661 0.351
0.547 0.167 -0.867
0.379 0.52 -0.339
0.791 0.583 -0.534
0.43 0.505 -0.489
0.628 1.074 -0.566
0.538 0.824 -0.732
0.312 1.467 -1.315
0.472 0.005 0.631
0.603 -0.127 0.188
0.725 -0.909 -0.081
0.355 -0.101 1.747
0.295 -0.949 0.463
0.263 -0.927 -0.348
0.672 -0.643 1.048
0.559 0.065 0.459
0.296 0.068 0.717
0.054 -0.214 0.36
0.567 0.052 -0.139
0.336 0.425 0.318
1.037 -0.028 -0.12
1.006 -0.114 -0.366
